#
# ARTDECO : Beta_l
#
# Used model for truncation was:
 none
# number of wavelengths
          38
# wlambda(microns)     nBetal     Trunc. Coeff.     Cext      SSA              g 
      3     0.601519931E+01     0.624367812E+01     0.622791174E+01     0.602240468E+01    -0.679842343E-01     0.917501118E-02
      4     0.732275233E+01     0.752535746E+01     0.749839240E+01     0.731467557E+01    -0.674132451E-01     0.704993867E-02
      5     0.846398220E+01     0.864611910E+01     0.863972102E+01     0.847022727E+01    -0.631955248E-01     0.397751881E-02
      6     0.948149787E+01     0.965003450E+01     0.963372053E+01     0.947737323E+01    -0.597956942E-01     0.132506713E-02
      7     0.103624176E+02     0.105196396E+02     0.105145139E+02     0.103669975E+02    -0.559595939E-01    -0.778431217E-03
      8     0.111311465E+02     0.112801680E+02     0.112697377E+02     0.111305239E+02    -0.542544803E-01    -0.187791045E-02
# lambda =     10.9890
#     l     alpha1            alpha2            alpha3            alpha4             beta1            beta2
      0     0.100000000E+01     0.000000000E+00     0.000000000E+00     0.964721788E+00     0.000000000E+00     0.000000000E+00
      1     0.284433980E+01     0.000000000E+00     0.000000000E+00     0.284512313E+01     0.000000000E+00     0.000000000E+00
      2     0.449778794E+01     0.478397198E+01     0.472583761E+01     0.449304037E+01    -0.734632239E-01     0.182936950E-01
      3     0.594173057E+01     0.617703661E+01     0.614663956E+01     0.594454788E+01    -0.792222035E-01     0.189521002E-01
      4     0.722426686E+01     0.742920716E+01     0.740027099E+01     0.721967788E+01    -0.760283040E-01     0.150840723E-01
      5     0.834930984E+01     0.853358900E+01     0.851903204E+01     0.835197757E+01    -0.711569400E-01     0.104204073E-01
      6     0.934233339E+01     0.951296917E+01     0.949661404E+01     0.934082417E+01    -0.672339200E-01     0.667049590E-02
      7     0.102016101E+02     0.103615557E+02     0.103516118E+02     0.102038904E+02    -0.636353441E-01     0.387538498E-02
      8     0.109406001E+02     0.110925372E+02     0.110820429E+02     0.109415409E+02    -0.617251374E-01     0.233307167E-02
# lambda =     11.2360
#     l     alpha1            alpha2            alpha3            alpha4             beta1            beta2
      0     0.100000000E+01     0.000000000E+00     0.000000000E+00     0.951619738E+00     0.000000000E+00     0.000000000E+00
      1     0.281293816E+01     0.000000000E+00     0.000000000E+00     0.281557292E+01     0.000000000E+00     0.000000000E+00
      2     0.442801554E+01     0.474601314E+01     0.466676058E+01     0.442723891E+01    -0.885871933E-01     0.260411761E-01
      3     0.583315981E+01     0.608252875E+01     0.603767962E+01     0.583549334E+01    -0.882350663E-01     0.240273301E-01
      4     0.707204914E+01     0.728503342E+01     0.725202826E+01     0.707108873E+01    -0.803560104E-01     0.173501018E-01
      5     0.815578527E+01     0.834612379E+01     0.832574846E+01     0.815766404E+01    -0.728008458E-01     0.111354095E-01
      6     0.910051438E+01     0.927590148E+01     0.925927037E+01     0.910111997E+01    -0.671136920E-01     0.691027270E-02
      7     0.991093210E+01     0.100750312E+02     0.100633408E+02     0.991284989E+01    -0.625336106E-01     0.429340927E-02
      8     0.105965984E+02     0.107518187E+02     0.107415112E+02     0.105975961E+02    -0.593850797E-01     0.326634778E-02
# lambda =     11.4943
#     l     alpha1            alpha2            alpha3            alpha4             beta1            beta2
      0     0.100000000E+01     0.000000000E+00     0.000000000E+00     0.939346545E+00     0.000000000E+00     0.000000000E+00
      1     0.278992115E+01     0.000000000E+00     0.000000000E+00     0.279260111E+01     0.000000000E+00     0.000000000E+00
      2     0.438368470E+01     0.471858564E+01     0.462036970E+01     0.438407295E+01    -0.995454210E-01     0.313471463E-01
      3     0.577028502E+01     0.602607829E+01     0.596849224E+01     0.577067764E+01    -0.952535815E-01     0.271713328E-01
      4     0.698894075E+01     0.720529009E+01     0.716699288E+01     0.698814894E+01    -0.849604488E-01     0.188581846E-01
      5     0.805324197E+01     0.824654981E+01     0.822137957E+01     0.805417120E+01    -0.768944544E-01     0.120590179E-01
      6     0.897554506E+01     0.915378481E+01     0.913471951E+01     0.897650149E+01    -0.710862270E-01     0.777526199E-02
      7     0.976252139E+01     0.992956903E+01     0.991525609E+01     0.976434863E+01    -0.666042097E-01     0.522808312E-02
      8     0.104224893E+02     0.105806212E+02     0.105683437E+02     0.104236685E+02    -0.633069298E-01     0.422210143E-02
# lambda =     11.7647
#     l     alpha1            alpha2            alpha3            alpha4             beta1            beta2
      0     0.100000000E+01     0.000000000E+00     0.000000000E+00     0.928337097E+00     0.000000000E+00     0.000000000E+00
      1     0.276981679E+01     0.000000000E+00     0.000000000E+00     0.277304278E+01     0.000000000E+00     0.000000000E+00
      2     0.434649882E+01     0.469527874E+01     0.457956057E+01     0.434685880E+01    -0.107876605E+00     0.337769397E-01
      3     0.571526442E+01     0.597737523E+01     0.590991797E+01     0.571422661E+01    -0.100706974E+00     0.278419293E-01
      4     0.691379998E+01     0.713432327E+01     0.709118983E+01     0.691228826E+01    -0.888831944E-01     0.187142490E-01
      5     0.795632819E+01     0.815327050E+01     0.812455588E+01     0.795615742E+01    -0.804196054E-01     0.118038122E-01
