#
#     DEFINES WAVELENGTH DEPENDENT COMPLEX INDEX OF REFRACTION FOR ICE.
#     ALLOWABLE WAVELENGTH RANGE EXTENDS FROM 0.045 MICRONS TO 167 MICRONS.
#
#     STEPHEN G. WARREN - 1983
#     DEPT. OF ATMOSPHERIC SCIENCES
#     UNIVERSITY OF WASHINGTON
#     SEATTLE, WA  98195
#
#     BASED ON
#
#        WARREN,S.G.,1984.
#        OPTICAL CONSTANTS OF ICE FROM THE ULTRAVIOLET TO THE MICROWAVE.
#        APPLIED OPTICS,23,1206-1225
#
#  nlambda = 
 468
#    lambda          real              im 
#   (microns)
#
   41.139999       1.2086000      0.39060000    
   42.759998       1.2217300      0.46419999    
   43.580002       1.2416600      0.52469999    
   44.580002       1.2817500      0.57309997    
   45.500000       1.3278400      0.63620001    
   46.150002       1.3865700      0.68390000    
   46.709999       1.4648600      0.70910001    
   47.360001       1.5532300      0.67900002    
   48.000000       1.6037900      0.62500000    
   48.779999       1.6187700      0.56540000    
   50.029999       1.6296300      0.54329997    
   51.279999       1.6571200      0.52920002    
   52.750000       1.6981000      0.50700003    
   53.500000       1.7206500      0.48830000    
   54.240002       1.7486500      0.47070000    
   55.000000       1.7673600      0.42030001    
   55.740002       1.7647600      0.37709999    
   56.400002       1.7501100      0.33759999    
   57.000000       1.7232701      0.30559999    
   57.459999       1.6849000      0.28349999    
   58.400002       1.6239800      0.31700000    
   59.290001       1.5959600      0.35170001    
   60.000000       1.5851400      0.39019999    
   61.000000       1.5991700      0.45089999    
   61.250000       1.6140500      0.46709999    
   62.500000       1.6662500      0.47790000    
   63.779999       1.7066300      0.48899999    
   64.669998       1.7371300      0.48989999    
   65.580002       1.7686000      0.48730001    
   66.550003       1.8034300      0.47659999    
   67.599998       1.8329600      0.45080000    
   69.000000       1.8568200      0.41929999    
   70.529999       1.8741100      0.38800001    
   73.000000       1.8911000      0.34330001    
   75.000000       1.8991801      0.31180000    
   76.290001       1.9043200      0.29350001    
   80.000000       1.9032900      0.23500000    
   82.970001       1.8874400      0.19810000    
   85.000000       1.8749900      0.18650000    
   86.800003       1.8670200      0.17710000    
   90.800003       1.8536100      0.16200000    
   95.169998       1.8425000      0.14900000    
   100.00000       1.8322500      0.13900000    
   120.00000       1.8191400      0.12000000    
   150.00000       1.8226800      9.61999968E-02
   167.00000       1.8296100      8.29999968E-02
