#
# Recomposed optical properties out of ARTDEC
#
# Used model for truncation was:
 dm
# number of wavelengths
           1
#      lambda         nBl   nangle   Trunc. Coeff.     sumF11    Cext        SSA              g  
     0.412000000E+00     48   1900     0.347192687E+00     0.200008798E+01     0.100000000E+01     0.900000000E+00     0.860000000E+00
# Phase matrix
# lambda =      0.4120
#         u                 F11                F22              F33               F44               F21               F34
    -0.975164010E+00     0.216317905E+00     0.185565490E+00     0.317241779E-02     0.353187399E-01     0.364769672E-01    -0.297701512E-01
    -0.974796270E+00     0.214263585E+00     0.182683156E+00     0.994328743E-03     0.339006261E-01     0.367804463E-01    -0.294993369E-01
    -0.974425860E+00     0.212109770E+00     0.179897774E+00    -0.110772960E-02     0.323542620E-01     0.370768313E-01    -0.291682515E-01
    -0.974052780E+00     0.209869462E+00     0.177221540E+00    -0.312392742E-02     0.306908103E-01     0.373633806E-01    -0.287791980E-01
    -0.973677030E+00     0.207556130E+00     0.174666112E+00    -0.504480033E-02     0.289221128E-01     0.376374507E-01    -0.283348017E-01
    -0.973298620E+00     0.205183688E+00     0.172242614E+00    -0.686125165E-02     0.270606624E-01     0.378964980E-01    -0.278380070E-01
    -0.972917550E+00     0.202766289E+00     0.169961452E+00    -0.856470233E-02     0.251194265E-01     0.381381019E-01    -0.272920354E-01
    -0.972533810E+00     0.200318237E+00     0.167832278E+00    -0.101471199E-01     0.231117536E-01     0.383599697E-01    -0.267003590E-01
    -0.972147420E+00     0.197854155E+00     0.165864164E+00    -0.116008999E-01     0.210514986E-01     0.385599208E-01    -0.260667416E-01
    -0.971758360E+00     0.195388459E+00     0.164065185E+00    -0.129191856E-01     0.189525665E-01     0.387359322E-01    -0.253951064E-01
    -0.971366640E+00     0.192935710E+00     0.162442744E+00    -0.140956336E-01     0.168291951E-01     0.388861060E-01    -0.246896243E-01
    -0.970972260E+00     0.190510284E+00     0.161003330E+00    -0.151246025E-01     0.146956531E-01     0.390086959E-01    -0.239546242E-01
    -0.970575230E+00     0.188126404E+00     0.159752568E+00    -0.160011256E-01     0.125662579E-01     0.391021045E-01    -0.231946034E-01
    -0.970175540E+00     0.185797881E+00     0.158695100E+00    -0.167210070E-01     0.104551252E-01     0.391648942E-01    -0.224141435E-01
    -0.969773200E+00     0.183538272E+00     0.157834684E+00    -0.172807580E-01     0.837629583E-02     0.391957813E-01    -0.216179602E-01
    -0.969368200E+00     0.181360573E+00     0.157174073E+00    -0.176776905E-01     0.634344002E-02     0.391936444E-01    -0.208107983E-01
    -0.968960540E+00     0.179277315E+00     0.156715082E+00    -0.179098815E-01     0.436993237E-02     0.391575226E-01    -0.199974633E-01
    -0.968550240E+00     0.177300533E+00     0.156458553E+00    -0.179762076E-01     0.246880832E-02     0.390866225E-01    -0.191828142E-01
    -0.968137280E+00     0.175441399E+00     0.156404316E+00    -0.178763676E-01     0.652405282E-03     0.389803098E-01    -0.183716164E-01
    -0.967721680E+00     0.173710550E+00     0.156551238E+00    -0.176108736E-01    -0.106734189E-02     0.388381234E-01    -0.175686731E-01
    -0.967303430E+00     0.172117703E+00     0.156897211E+00    -0.171810456E-01    -0.267928459E-02     0.386597585E-01    -0.167786601E-01
    -0.966882530E+00     0.170671787E+00     0.157439172E+00    -0.165890122E-01    -0.417294742E-02     0.384450753E-01    -0.160061791E-01
    -0.966458980E+00     0.169380845E+00     0.158173118E+00    -0.158377032E-01    -0.553863433E-02     0.381940954E-01    -0.152557119E-01
    -0.966032790E+00     0.168252021E+00     0.159094102E+00    -0.149308596E-01    -0.676745730E-02     0.379070064E-01    -0.145316122E-01
    -0.965603950E+00     0.167291434E+00     0.160196327E+00    -0.138729548E-01    -0.785147521E-02     0.375841396E-01    -0.138380308E-01
    -0.965172470E+00     0.166504256E+00     0.161473083E+00    -0.126692586E-01    -0.878362342E-02     0.372259934E-01    -0.131789599E-01
    -0.964738350E+00     0.165894611E+00     0.162916860E+00    -0.113257463E-01    -0.955783737E-02     0.368332093E-01    -0.125581612E-01
    -0.964301590E+00     0.165465577E+00     0.164519359E+00    -0.984908913E-02    -0.101690544E-01     0.364065735E-01    -0.119791629E-01
