#
# Recomposed optical properties out of ARTDEC
#
# Used model for truncation was:
 dm
# number of wavelengths
           1
#      lambda         nBl   nangle   Trunc. Coeff.     sumF11    Cext        SSA              g  
     0.412000000E+00      8   1900     0.488154958E+00     0.200000506E+01     0.100000000E+01     0.900000000E+00     0.860000000E+00
# Phase matrix
# lambda =      0.4120
#         u                 F11                F22              F33               F44               F21               F34
    -0.976251230E+00     0.221040739E+00     0.109471361E+00    -0.108390807E+00     0.580634237E-03    -0.446921162E-01    -0.136420539E-01
    -0.975891490E+00     0.222937562E+00     0.109853336E+00    -0.108737110E+00     0.179553747E-02    -0.452983677E-01    -0.138365441E-01
    -0.975529090E+00     0.224836952E+00     0.110236485E+00    -0.109083668E+00     0.301165254E-02    -0.459070531E-01    -0.140321043E-01
    -0.975164010E+00     0.226738797E+00     0.110620798E+00    -0.109430452E+00     0.422890290E-02    -0.465181643E-01    -0.142287371E-01
    -0.974796270E+00     0.228642779E+00     0.111006225E+00    -0.109777397E+00     0.544707813E-02    -0.471316259E-01    -0.144264235E-01
    -0.974425860E+00     0.230548732E+00     0.111392747E+00    -0.110124464E+00     0.666606788E-02    -0.477474128E-01    -0.146251604E-01
    -0.974052780E+00     0.232456442E+00     0.111780334E+00    -0.110471605E+00     0.788572834E-02    -0.483654827E-01    -0.148249396E-01
    -0.973677030E+00     0.234365691E+00     0.112168956E+00    -0.110818773E+00     0.910591567E-02    -0.489857933E-01    -0.150257526E-01
    -0.973298620E+00     0.236276214E+00     0.112558573E+00    -0.111165910E+00     0.103264539E-01    -0.496082857E-01    -0.152275855E-01
    -0.972917550E+00     0.238187793E+00     0.112949156E+00    -0.111512969E+00     0.115471998E-01    -0.502329173E-01    -0.154304299E-01
    -0.972533810E+00     0.240100264E+00     0.113340685E+00    -0.111859910E+00     0.127680421E-01    -0.508596618E-01    -0.156342824E-01
    -0.972147420E+00     0.242013311E+00     0.113733111E+00    -0.112206666E+00     0.139887740E-01    -0.514884439E-01    -0.158391237E-01
    -0.971758360E+00     0.243926817E+00     0.114126425E+00    -0.112553207E+00     0.152093158E-01    -0.521192530E-01    -0.160449558E-01
    -0.971366640E+00     0.245840516E+00     0.114520587E+00    -0.112899476E+00     0.164294929E-01    -0.527520298E-01    -0.162517646E-01
    -0.970972260E+00     0.247754193E+00     0.114915568E+00    -0.113245423E+00     0.176491626E-01    -0.533867311E-01    -0.164595413E-01
    -0.970575230E+00     0.249667584E+00     0.115311328E+00    -0.113590991E+00     0.188681515E-01    -0.540232975E-01    -0.166682717E-01
    -0.970175540E+00     0.251580522E+00     0.115707849E+00    -0.113936140E+00     0.200863484E-01    -0.546617015E-01    -0.168779522E-01
    -0.969773200E+00     0.253492744E+00     0.116105091E+00    -0.114280810E+00     0.213035806E-01    -0.553018838E-01    -0.170885685E-01
    -0.969368200E+00     0.255404082E+00     0.116503036E+00    -0.114624963E+00     0.225197369E-01    -0.559438164E-01    -0.173001168E-01
    -0.968960540E+00     0.257314322E+00     0.116901654E+00    -0.114968547E+00     0.237346751E-01    -0.565874556E-01    -0.175125880E-01
    -0.968550240E+00     0.259223154E+00     0.117300898E+00    -0.115311497E+00     0.249481948E-01    -0.572327259E-01    -0.177259625E-01
    -0.968137280E+00     0.261130459E+00     0.117700758E+00    -0.115653780E+00     0.261602143E-01    -0.578796148E-01    -0.179402416E-01
    -0.967721680E+00     0.263035929E+00     0.118101185E+00    -0.115995330E+00     0.273705344E-01    -0.585280469E-01    -0.181554055E-01
    -0.967303430E+00     0.264939398E+00     0.118502162E+00    -0.116336103E+00     0.285790445E-01    -0.591779937E-01    -0.183714502E-01
    -0.966882530E+00     0.266840652E+00     0.118903660E+00    -0.116676052E+00     0.297856045E-01    -0.598294109E-01    -0.185883664E-01
    -0.966458980E+00     0.268739479E+00     0.119305650E+00    -0.117015125E+00     0.309900749E-01    -0.604822540E-01    -0.188061445E-01
    -0.966032790E+00     0.270635620E+00     0.119708095E+00    -0.117353265E+00     0.321922883E-01    -0.611364633E-01    -0.190247699E-01
    -0.965603950E+00     0.272528910E+00     0.120110976E+00    -0.117690429E+00     0.333921345E-01    -0.617920096E-01    -0.192442384E-01
    -0.965172470E+00     0.274419092E+00     0.120514256E+00    -0.118026558E+00     0.345894471E-01    -0.624488329E-01    -0.194645350E-01
    -0.964738350E+00     0.276305955E+00     0.120917907E+00    -0.118361603E+00     0.357840888E-01    -0.631068887E-01    -0.196856504E-01
    -0.964301590E+00     0.278189290E+00     0.121321901E+00    -0.118695513E+00     0.369759226E-01    -0.637661321E-01    -0.199075746E-01
    -0.963862190E+00     0.280068887E+00     0.121726212E+00    -0.119028238E+00     0.381648117E-01    -0.644265185E-01    -0.201302982E-01
    -0.963420160E+00     0.281944493E+00     0.122130801E+00    -0.119359719E+00     0.393505933E-01    -0.650879879E-01    -0.203538061E-01
    -0.962975480E+00     0.283815986E+00     0.122535661E+00    -0.119689920E+00     0.405331853E-01    -0.657505253E-01    -0.205780986E-01
    -0.962528170E+00     0.285683072E+00     0.122940746E+00    -0.120018777E+00     0.417123993E-01    -0.664140559E-01    -0.208031559E-01
    -0.962078230E+00     0.287545546E+00     0.123346029E+00    -0.120346238E+00     0.428881012E-01    -0.670785346E-01    -0.210289679E-01
    -0.961625650E+00     0.289403241E+00     0.123751491E+00    -0.120672260E+00     0.440601833E-01    -0.677439313E-01    -0.212555297E-01
    -0.961170440E+00     0.291255911E+00     0.124157099E+00    -0.120996785E+00     0.452284862E-01    -0.684101859E-01    -0.214828262E-01
    -0.960712600E+00     0.293103350E+00     0.124562824E+00    -0.121319762E+00     0.463928776E-01    -0.690772533E-01    -0.217108474E-01
    -0.960252140E+00     0.294945314E+00     0.124968631E+00    -0.121641133E+00     0.475532004E-01    -0.697450738E-01    -0.219395781E-01
    -0.959789040E+00     0.296781681E+00     0.125374513E+00    -0.121960861E+00     0.487093737E-01    -0.704136311E-01    -0.221690181E-01
    -0.959323320E+00     0.298612167E+00     0.125780425E+00    -0.122278882E+00     0.498612168E-01    -0.710828511E-01    -0.223991473E-01
    -0.958854970E+00     0.300436610E+00     0.126186351E+00    -0.122595151E+00     0.510086246E-01    -0.717527027E-01    -0.226299603E-01
    -0.958383990E+00     0.302254808E+00     0.126592264E+00    -0.122909618E+00     0.521514678E-01    -0.724231406E-01    -0.228614468E-01
    -0.957910400E+00     0.304066485E+00     0.126998122E+00    -0.123222218E+00     0.532895695E-01    -0.730940909E-01    -0.230935865E-01
    -0.957434180E+00     0.305871518E+00     0.127403917E+00    -0.123532913E+00     0.544228504E-01    -0.737655367E-01    -0.233263790E-01
    -0.956955340E+00     0.307669670E+00     0.127809614E+00    -0.123841646E+00     0.555511595E-01    -0.744374183E-01    -0.235598087E-01
    -0.956473880E+00     0.309460745E+00     0.128215189E+00    -0.124148366E+00     0.566743708E-01    -0.751096903E-01    -0.237938652E-01
    -0.955989810E+00     0.311244508E+00     0.128620609E+00    -0.124453016E+00     0.577923357E-01    -0.757822934E-01    -0.240285330E-01
    -0.955503120E+00     0.313020802E+00     0.129025857E+00    -0.124755552E+00     0.589049531E-01    -0.764551962E-01    -0.242638065E-01
    -0.955013810E+00     0.314789431E+00     0.129430910E+00    -0.125055921E+00     0.600120991E-01    -0.771283529E-01    -0.244996749E-01
    -0.954521890E+00     0.316550167E+00     0.129835733E+00    -0.125354068E+00     0.611136281E-01    -0.778017045E-01    -0.247361227E-01
    -0.954027360E+00     0.318302818E+00     0.130240304E+00    -0.125649942E+00     0.622094185E-01    -0.784752056E-01    -0.249731392E-01
    -0.953530220E+00     0.320047192E+00     0.130644599E+00    -0.125943492E+00     0.632993494E-01    -0.791488107E-01    -0.252107135E-01
    -0.953030460E+00     0.321783134E+00     0.131048601E+00    -0.126234672E+00     0.643833223E-01    -0.798224879E-01    -0.254488398E-01
    -0.952528100E+00     0.323510386E+00     0.131452272E+00    -0.126523422E+00     0.654611743E-01    -0.804961649E-01    -0.256874974E-01
    -0.952023130E+00     0.325228794E+00     0.131855597E+00    -0.126809695E+00     0.665328090E-01    -0.811698095E-01    -0.259266802E-01
