# ARTDECO : output file
# Downward Radiances
#   
# Result given for each geometry
# sza : solar zenith angle(s) (degree)
# vza : view  zenith angle(s) (degree)
# vaa : view azimuthal angle(s) (degree)
# total number of geometries
         270
# nsza, nvza_dw, n
           1          90           3
# number of elements of the Stokes vector
# 4 = full polarization, 3 = 3x3 approximation, 1 = scalar
           3
# number of wavelengths
           1
##################
# Wavelength (microns) 
       0.412000000
# CPU time for RT in sec(s) 
     0.385241485E+01
#        sza               vza              vaa              theta              I_dw              Q_dw              U_dw                dI_dw            dQ_dw             dU_dw              Polar. (%)
      60.000000000     135.000000000     180.000000000     164.000000000       0.026562403      -0.017578145      -0.000000000       0.000000000       0.000000000       0.000000000      66.176788789
      60.000000000     136.000000000       0.000000000      75.000000000       0.044327783       0.000765741       0.000000000       0.000000000       0.000000000       0.000000000       1.727452368
      60.000000000     136.000000000      90.000000000     110.704811055       0.028120465       0.013741344      -0.012742524       0.000000000       0.000000000       0.000000000      66.642697711
      60.000000000     136.000000000     180.000000000     165.000000000       0.025995373      -0.017566668      -0.000000000       0.000000000       0.000000000       0.000000000      67.576135170
      60.000000000     137.000000000       0.000000000      74.000000000       0.043526405       0.000518362       0.000000000       0.000000000       0.000000000       0.000000000       1.190914930
      60.000000000     137.000000000      90.000000000     110.324042898       0.027792531       0.013597016      -0.012351352       0.000000000       0.000000000       0.000000000      66.094726159
      60.000000000     137.000000000     180.000000000     166.000000000       0.025459990      -0.017548052      -0.000000000       0.000000000       0.000000000       0.000000000      68.924034481
      60.000000000     138.000000000       0.000000000      73.000000000       0.042744410       0.000266942       0.000000000       0.000000000       0.000000000       0.000000000       0.624507237
      60.000000000     138.000000000      90.000000000     109.937761204       0.027478960       0.013459265      -0.011968956       0.000000000       0.000000000       0.000000000      65.545866236
      60.000000000     138.000000000     180.000000000     167.000000000       0.024955074      -0.017522394      -0.000000000       0.000000000       0.000000000       0.000000000      70.215757843
      60.000000000     139.000000000       0.000000000      72.000000000       0.041981057       0.000011754       0.000000000       0.000000000       0.000000000       0.000000000       0.027997629
      60.000000000     139.000000000      90.000000000     109.546106430       0.027179108       0.013327786      -0.011594885       0.000000000       0.000000000       0.000000000      64.996754496
      60.000000000     139.000000000     180.000000000     168.000000000       0.024479516      -0.017489788      -0.000000000       0.000000000       0.000000000       0.000000000      71.446625380
      60.000000000     140.000000000       0.000000000      71.000000000       0.041235658      -0.000246939       0.000000000       0.000000000       0.000000000       0.000000000       0.598848153
      60.000000000     140.000000000      90.000000000     109.149218605       0.026892366       0.013202288      -0.011228712       0.000000000       0.000000000       0.000000000      64.448033621
      60.000000000     140.000000000     180.000000000     169.000000000       0.024032273      -0.017450324      -0.000000000       0.000000000       0.000000000       0.000000000      72.612041221
      60.000000000     141.000000000       0.000000000      70.000000000       0.040507573      -0.000508883       0.000000000       0.000000000       0.000000000       0.000000000       1.256265429
      60.000000000     141.000000000      90.000000000     108.747237251       0.026618165       0.013082502      -0.010870035       0.000000000       0.000000000       0.000000000      63.900352273
