#
# Optical properties to be used by ARTDECO
#
# Used model to obtain that properties is:
 unknown 
# Used material is:
 unknown 
# Number of phase matrix elements : 
 4 
# number of wavelengths 
    91
#  lambda         nteta          Cext               SSA                g 
 9.9876313e-01     9.5489998e+00  0.0  0.0  0.0 
 9.9880614e-01     1.0190000e+01  0.0  0.0  0.0 
 9.9884839e-01     1.0470000e+01  0.0  0.0  0.0 
 9.9888987e-01     1.0740000e+01  0.0  0.0  0.0 
 9.9893060e-01     1.1050000e+01  0.0  0.0  0.0 
 9.9897057e-01     1.1800000e+01  0.0  0.0  0.0 
 9.9900978e-01     1.3080000e+01  0.0  0.0  0.0 
 9.9904822e-01     1.4210000e+01  0.0  0.0  0.0 
 9.9908591e-01     1.4820000e+01  0.0  0.0  0.0 
 9.9912283e-01     1.5580000e+01  0.0  0.0  0.0 
 9.9915899e-01     1.6410000e+01  0.0  0.0  0.0 
 9.9919440e-01     1.7410000e+01  0.0  0.0  0.0 
 9.9922904e-01     1.8010000e+01  0.0  0.0  0.0 
 9.9926292e-01     1.8389999e+01  0.0  0.0  0.0 
 9.9929604e-01     1.8320000e+01  0.0  0.0  0.0 
 9.9932839e-01     1.9330000e+01  0.0  0.0  0.0 
 9.9935999e-01     2.2469999e+01  0.0  0.0  0.0 
 9.9939083e-01     2.5709999e+01  0.0  0.0  0.0 
 9.9939690e-01     2.6330000e+01  0.0  0.0  0.0 
 9.9940295e-01     2.6930000e+01  0.0  0.0  0.0 
 9.9940896e-01     2.7510000e+01  0.0  0.0  0.0 
 9.9941495e-01     2.8090000e+01  0.0  0.0  0.0 
 9.9942090e-01     2.8719999e+01  0.0  0.0  0.0 
 9.9942683e-01     2.9410000e+01  0.0  0.0  0.0 
 9.9943272e-01     3.0139999e+01  0.0  0.0  0.0 
 9.9943858e-01     3.0889999e+01  0.0  0.0  0.0 
 9.9944441e-01     3.1620001e+01  0.0  0.0  0.0 
 9.9945022e-01     3.2320000e+01  0.0  0.0  0.0 
 9.9945599e-01     3.2980000e+01  0.0  0.0  0.0 
 9.9946173e-01     3.3630001e+01  0.0  0.0  0.0 
 9.9946744e-01     3.4270000e+01  0.0  0.0  0.0 
 9.9947312e-01     3.4869999e+01  0.0  0.0  0.0 
 9.9947877e-01     3.5439999e+01  0.0  0.0  0.0 
 9.9948439e-01     3.5950001e+01  0.0  0.0  0.0 
