#
# Optical properties to be used by ARTDECO
#
# Used model to obtain that properties is:
 unknown 
# Used material is:
 unknown 
# Number of phase matrix elements : 
 4 
# number of wavelengths 
   186
#  lambda         nteta          Cext               SSA                g 
-4.2261826e-01     2.8436646e-02  0.0  0.0  0.0 
-3.9073113e-01     2.8433178e-02  0.0  0.0  0.0 
-3.2556815e-01     2.3386968e-02  0.0  0.0  0.0 
-2.9237170e-01     2.1414801e-02  0.0  0.0  0.0 
-2.5881905e-01     1.9975077e-02  0.0  0.0  0.0 
-2.2495105e-01     1.8890284e-02  0.0  0.0  0.0 
-1.7364818e-01     1.7942591e-02  0.0  0.0  0.0 
-1.2186934e-01     1.7717440e-02  0.0  0.0  0.0 
-8.7155743e-02     1.7889837e-02  0.0  0.0  0.0 
-5.2335956e-02     1.8485965e-02  0.0  0.0  0.0 
 6.1232340e-17     2.0212159e-02  0.0  0.0  0.0 
 5.2335956e-02     2.3170393e-02  0.0  0.0  0.0 
 8.7155743e-02     2.6202129e-02  0.0  0.0  0.0 
 1.0452846e-01     2.8038898e-02  0.0  0.0  0.0 
 1.2186934e-01     3.0180437e-02  0.0  0.0  0.0 
 1.5643447e-01     3.5521194e-02  0.0  0.0  0.0 
 1.9080900e-01     4.2430475e-02  0.0  0.0  0.0 
 2.2495105e-01     5.1416330e-02  0.0  0.0  0.0 
 2.4192190e-01     5.6799460e-02  0.0  0.0  0.0 
 2.7563736e-01     6.9586620e-02  0.0  0.0  0.0 
 3.0901699e-01     8.5372001e-02  0.0  0.0  0.0 
 3.2556815e-01     9.4568253e-02  0.0  0.0  0.0 
 3.5836795e-01     1.1588922e-01  0.0  0.0  0.0 
 3.9073113e-01     1.4148989e-01  0.0  0.0  0.0 
 4.0673664e-01     1.5628885e-01  0.0  0.0  0.0 
 4.3837115e-01     1.9009271e-01  0.0  0.0  0.0 
 4.6947156e-01     2.2997759e-01  0.0  0.0  0.0 
 5.0000000e-01     2.7547339e-01  0.0  0.0  0.0 
 5.2991926e-01     3.2659674e-01  0.0  0.0  0.0 
 5.7357644e-01     4.1566128e-01  0.0  0.0  0.0 
 6.0181502e-01     4.8531297e-01  0.0  0.0  0.0 
 6.2932039e-01     5.6473666e-01  0.0  0.0  0.0 
 6.5605903e-01     6.5469724e-01  0.0  0.0  0.0 
 6.8199836e-01     7.5650620e-01  0.0  0.0  0.0 
 7.0710678e-01     8.7107366e-01  0.0  0.0  0.0 
 7.4314483e-01     1.0707082e+00  0.0  0.0  0.0 
 7.6604444e-01     1.2236217e+00  0.0  0.0  0.0 
 7.8801075e-01     1.3966517e+00  0.0  0.0  0.0 
 8.0901699e-01     1.5901151e+00  0.0  0.0  0.0 
 8.2903757e-01     1.8086363e+00  0.0  0.0  0.0 
 8.5716730e-01     2.1851957e+00  0.0  0.0  0.0 
 8.8294759e-01     2.6124563e+00  0.0  0.0  0.0 
 9.1354546e-01     3.2593117e+00  0.0  0.0  0.0 
 9.2718385e-01     3.6310174e+00  0.0  0.0  0.0 
 9.4551858e-01     4.2405996e+00  0.0  0.0  0.0 
 9.5630476e-01     4.6758561e+00  0.0  0.0  0.0 
 9.7029573e-01     5.3732996e+00  0.0  0.0  0.0 
 9.8162718e-01     6.1502395e+00  0.0  0.0  0.0 
 9.8768834e-01     6.7914314e+00  0.0  0.0  0.0 
 9.9026807e-01     7.2078137e+00  0.0  0.0  0.0 
 9.9254615e-01     7.7641659e+00  0.0  0.0  0.0 
 9.9452190e-01     8.6007767e+00  0.0  0.0  0.0 
 9.9539620e-01     9.2176752e+00  0.0  0.0  0.0 
 9.9619470e-01     1.0059217e+01  0.0  0.0  0.0 
 9.9691733e-01     1.1277462e+01  0.0  0.0  0.0 
 9.9718513e-01     1.1918780e+01  0.0  0.0  0.0 
 9.9756405e-01     1.3119996e+01  0.0  0.0  0.0 
 9.9780147e-01     1.4130636e+01  0.0  0.0  0.0 
 9.9813480e-01     1.6104788e+01  0.0  0.0  0.0 
 9.9834182e-01     1.7831787e+01  0.0  0.0  0.0 
 9.9844076e-01     1.8859612e+01  0.0  0.0  0.0 
 9.9862953e-01     2.1335098e+01  0.0  0.0  0.0 
 9.9880614e-01     2.4553011e+01  0.0  0.0  0.0 
 9.9888987e-01     2.6536858e+01  0.0  0.0  0.0 
 9.9904822e-01     3.1496569e+01  0.0  0.0  0.0 
 9.9912283e-01     3.4619900e+01  0.0  0.0  0.0 
 9.9919440e-01     3.8312016e+01  0.0  0.0  0.0 
 9.9926292e-01     4.2703533e+01  0.0  0.0  0.0 
 9.9932839e-01     4.7961369e+01  0.0  0.0  0.0 
 9.9939083e-01     5.4313686e+01  0.0  0.0  0.0 
 9.9945022e-01     6.2073582e+01  0.0  0.0  0.0 
 9.9950656e-01     7.1658577e+01  0.0  0.0  0.0 
 9.9955986e-01     8.3632721e+01  0.0  0.0  0.0 
 9.9961012e-01     9.8781044e+01  0.0  0.0  0.0 
 9.9965732e-01     1.1822993e+02  0.0  0.0  0.0 
 9.9970149e-01     1.4363258e+02  0.0  0.0  0.0 
 9.9972243e-01     1.5928691e+02  0.0  0.0  0.0 
 9.9974261e-01     1.7742236e+02  0.0  0.0  0.0 
 9.9976203e-01     1.9853226e+02  0.0  0.0  0.0 
 9.9978068e-01     2.2322469e+02  0.0  0.0  0.0 
 9.9979858e-01     2.5225587e+02  0.0  0.0  0.0 
 9.9981571e-01     2.8657526e+02  0.0  0.0  0.0 
 9.9983208e-01     3.2739148e+02  0.0  0.0  0.0 
 9.9984770e-01     3.7627618e+02  0.0  0.0  0.0 
 9.9986254e-01     4.3533728e+02  0.0  0.0  0.0 
 9.9987663e-01     5.0753687e+02  0.0  0.0  0.0 
 9.9988996e-01     5.9729803e+02  0.0  0.0  0.0 
 9.9990252e-01     7.1167035e+02  0.0  0.0  0.0 
 9.9991433e-01     8.6254962e+02  0.0  0.0  0.0 
 9.9992104e-01     9.7871362e+02  0.0  0.0  0.0 
 9.9992537e-01     1.0707870e+03  0.0  0.0  0.0 
 9.9992957e-01     1.1776630e+03  0.0  0.0  0.0 
 9.9993565e-01     1.3734658e+03  0.0  0.0  0.0 
 9.9993955e-01     1.5343047e+03  0.0  0.0  0.0 
 9.9994517e-01     1.8360118e+03  0.0  0.0  0.0 
 9.9994876e-01     2.0888181e+03  0.0  0.0  0.0 
 9.9995393e-01     2.5705996e+03  0.0  0.0  0.0 
 9.9995722e-01     2.9786636e+03  0.0  0.0  0.0 
 9.9995882e-01     3.2144236e+03  0.0  0.0  0.0 
 9.9996192e-01     3.7605049e+03  0.0  0.0  0.0 
 9.9996491e-01     4.4228730e+03  0.0  0.0  0.0 
