#
# Optical properties to be used by ARTDECO
#
# Used model to obtain that properties is:
 mie3
# Used material is:
 lwat
# Number of phase matrix elements :
           4
# number of wavelengths
           1
#  wlambda(microns)   nteta   Cext (microns^2)       SSA              g 
     0.550000000E+00    901     0.859542345E+03     0.999999468E+00    -0.327680000E+05
# Phase matrix
# lambda =      0.5500
#         u                 F11              F44               F21               F34
    -0.624172124E+00     0.439449951E-01     0.219345807E-02    -0.230685034E-01     0.212187941E-01
    -0.621439601E+00     0.445979106E-01     0.278135633E-02    -0.235979291E-01     0.213422012E-01
    -0.618699499E+00     0.452463424E-01     0.338120547E-02    -0.241161358E-01     0.214462075E-01
    -0.615951849E+00     0.458822685E-01     0.398760241E-02    -0.246207238E-01     0.215270444E-01
    -0.613196686E+00     0.465108814E-01     0.460322415E-02    -0.251183585E-01     0.215883846E-01
    -0.610434042E+00     0.471414500E-01     0.523494649E-02    -0.256143958E-01     0.216352218E-01
    -0.607663953E+00     0.477744482E-01     0.588503364E-02    -0.261039086E-01     0.216671273E-01
    -0.604886451E+00     0.483974021E-01     0.654672922E-02    -0.265740225E-01     0.216764318E-01
    -0.602101571E+00     0.489925293E-01     0.720921143E-02    -0.270144434E-01     0.216523232E-01
    -0.599309346E+00     0.495486437E-01     0.786683782E-02    -0.274246620E-01     0.215874425E-01
    -0.596509810E+00     0.500670355E-01     0.852284131E-02    -0.278109204E-01     0.214819710E-01
    -0.593702999E+00     0.505568472E-01     0.918342375E-02    -0.281769133E-01     0.213421947E-01
    -0.590888945E+00     0.510243683E-01     0.984833834E-02    -0.285178025E-01     0.211745453E-01
    -0.588067683E+00     0.514654087E-01     0.105077677E-01    -0.288228877E-01     0.209793149E-01
    -0.585239248E+00     0.518668598E-01     0.111488886E-01    -0.290835240E-01     0.207487985E-01
