#
# Optical properties to be used by ARTDECO
#
# Used model to obtain that properties is:
 mie3
# Used material is:
 lwat
# Number of phase matrix elements :
           4
# number of wavelengths
           4
#  wlambda(microns)   nteta   Cext (microns^2)       SSA              g 
     0.550000000E+00   2800     0.697526463E+02     0.999999795E+00     0.841898766E+00
     0.190493500E+01   2800     0.799866099E+02     0.968812977E+00     0.797054568E+00
     0.194193100E+01   2800     0.804542378E+02     0.959473806E+00     0.800221082E+00
     0.198039200E+01   2800     0.809846184E+02     0.969110234E+00     0.799412927E+00
# Phase matrix
# lambda =      0.5500
#         u                 F11              F44               F21               F34
    -0.987007501E+00     0.227768175E+00     0.726156651E-01     0.619500844E-01     0.465825243E-01
    -0.986826507E+00     0.226785412E+00     0.720557372E-01     0.613953343E-01     0.465256021E-01
    -0.986644269E+00     0.225805592E+00     0.715326967E-01     0.608452257E-01     0.464405151E-01
    -0.986460787E+00     0.224828962E+00     0.710417617E-01     0.603011061E-01     0.463280458E-01
    -0.986276063E+00     0.223855804E+00     0.705781911E-01     0.597640927E-01     0.461892362E-01
    -0.986090095E+00     0.222886409E+00     0.701373739E-01     0.592350696E-01     0.460253531E-01
    -0.985902885E+00     0.221921063E+00     0.697149092E-01     0.587146916E-01     0.458378536E-01
    -0.985714432E+00     0.220960031E+00     0.693066740E-01     0.582033937E-01     0.456283498E-01
    -0.985524737E+00     0.220003553E+00     0.689088804E-01     0.577014062E-01     0.453985759E-01
    -0.985333800E+00     0.219051839E+00     0.685181183E-01     0.572087734E-01     0.451503561E-01
    -0.985141622E+00     0.218105070E+00     0.681313874E-01     0.567253753E-01     0.448855752E-01
    -0.984948202E+00     0.217163399E+00     0.677461155E-01     0.562509514E-01     0.446061508E-01
    -0.984753540E+00     0.216226961E+00     0.673601663E-01     0.557851246E-01     0.443140093E-01
    -0.984557638E+00     0.215295878E+00     0.669718361E-01     0.553274259E-01     0.440110635E-01
    -0.984360495E+00     0.214370270E+00     0.665798416E-01     0.548773176E-01     0.436991937E-01
    -0.984162111E+00     0.213450263E+00     0.661832989E-01     0.544342147E-01     0.433802309E-01
    -0.983962487E+00     0.212536000E+00     0.657816966E-01     0.539975055E-01     0.430559433E-01
    -0.983761623E+00     0.211627646E+00     0.653748633E-01     0.535665680E-01     0.427280242E-01
    -0.983559519E+00     0.210725399E+00     0.649629308E-01     0.531407858E-01     0.423980831E-01
    -0.983356176E+00     0.209829496E+00     0.645462957E-01     0.527195599E-01     0.420676384E-01
    -0.983151593E+00     0.208940214E+00     0.641255784E-01     0.523023195E-01     0.417381112E-01
    -0.982945772E+00     0.208057878E+00     0.637015825E-01     0.518885294E-01     0.414108221E-01
    -0.982738712E+00     0.207182856E+00     0.632752548E-01     0.514776967E-01     0.410869877E-01
    -0.982530413E+00     0.206315562E+00     0.628476466E-01     0.510693743E-01     0.407677190E-01
    -0.982320876E+00     0.205456452E+00     0.624198770E-01     0.506631645E-01     0.404540209E-01
    -0.982110101E+00     0.204606019E+00     0.619930985E-01     0.502587206E-01     0.401467915E-01
    -0.981898088E+00     0.203764786E+00     0.615684664E-01     0.498557472E-01     0.398468226E-01
    -0.981684838E+00     0.202933298E+00     0.611471102E-01     0.494540005E-01     0.395548003E-01
    -0.981470351E+00     0.202112116E+00     0.607301089E-01     0.490532874E-01     0.392713063E-01
    -0.981254627E+00     0.201301799E+00     0.603184702E-01     0.486534641E-01     0.389968188E-01
    -0.981037667E+00     0.200502902E+00     0.599131118E-01     0.482544343E-01     0.387317147E-01
    -0.980819470E+00     0.199715958E+00     0.595148474E-01     0.478561465E-01     0.384762710E-01
    -0.980600037E+00     0.198941468E+00     0.591243755E-01     0.474585918E-01     0.382306678E-01
