#
# ARTDECO : Beta_l
#
# Used model for truncation was:
 dm
# number of wavelengths
         184
# wlambda(microns)     nBetal     Trunc. Coeff.     Cext (microns^2)       SSA              g 
      6     0.559699518E+00     0.912203388E+00     0.891800348E+00     0.633093886E+00     0.726146558E-01    -0.549573607E-01
      7     0.445646805E+00     0.390068817E+00     0.234168023E+00     0.360055028E+00    -0.459454321E-01    -0.323776989E-01
      8     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.000000000E+00
# lambda =      0.2591
#     l     alpha1            alpha2            alpha3            alpha4             beta1            beta2
      0     0.999999800E+00     0.000000000E+00     0.000000000E+00     0.890943092E+00     0.000000000E+00     0.000000000E+00
      1     0.223725307E+01     0.000000000E+00     0.000000000E+00     0.231278117E+01     0.000000000E+00     0.000000000E+00
      2     0.297658234E+01     0.409008103E+01     0.382729232E+01     0.286805762E+01     0.732625266E-03    -0.150120909E-01
      3     0.245607299E+01     0.341829350E+01     0.345032257E+01     0.253182537E+01    -0.187398967E+00    -0.185565857E-02
      4     0.182207615E+01     0.251980441E+01     0.241666952E+01     0.186676722E+01    -0.387331087E-01    -0.387700525E-01
      5     0.121698169E+01     0.151400574E+01     0.137244677E+01     0.116794212E+01    -0.174051810E+00     0.615269104E-02
      6     0.548528709E+00     0.892450894E+00     0.904228497E+00     0.637555730E+00     0.948751275E-01    -0.153925117E-02
      7     0.460081108E+00     0.402604205E+00     0.256489889E+00     0.374900921E+00    -0.426939290E-02     0.549984542E-02
      8     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.000000000E+00
# lambda =      0.2618
#     l     alpha1            alpha2            alpha3            alpha4             beta1            beta2
      0     0.999999811E+00     0.000000000E+00     0.000000000E+00     0.895656587E+00     0.000000000E+00     0.000000000E+00
      1     0.219771975E+01     0.000000000E+00     0.000000000E+00     0.228734798E+01     0.000000000E+00     0.000000000E+00
      2     0.292407970E+01     0.406013629E+01     0.379433825E+01     0.282086488E+01     0.253610643E-02    -0.281645138E-01
      3     0.236917210E+01     0.332422872E+01     0.336143247E+01     0.243842936E+01    -0.195059984E+00    -0.614525563E-02
      4     0.176253038E+01     0.242718961E+01     0.234069150E+01     0.180244384E+01    -0.435476441E-01    -0.482658855E-01
      5     0.124264933E+01     0.147665183E+01     0.134080420E+01     0.116709675E+01    -0.212046331E+00     0.408707858E-01
      6     0.606639395E+00     0.942646757E+00     0.979638549E+00     0.679755586E+00     0.493765811E-01     0.245566460E-01
      7     0.543560000E+00     0.448433252E+00     0.324310721E+00     0.442775717E+00    -0.536825676E-01     0.271487097E-01
      8     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.000000000E+00
# lambda =      0.2646
#     l     alpha1            alpha2            alpha3            alpha4             beta1            beta2
      0     0.999999816E+00     0.000000000E+00     0.000000000E+00     0.895583090E+00     0.000000000E+00     0.000000000E+00
